Client_Profile,Case_Name,Conflict_Type,model,scenario_elements_used,timestamp,run_tag,analysis_mode,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,Q_31,Q_32,Q_33,Q_34,Q_35,Q_36,Q_37,Q_38,Q_39
Client_7,High Leverage Strategy,,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,A,A,B,NA,NA,C,C,D,NA,NA,NA,C,B,NA,NA,NA,NA,NA,NA,C,B,C,A,C,C,NA,NA,A,C,NA,NA,NA,NA,A,NA,A,B
Client_7,High Leverage Strategy,,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,A,A,B,NA,NA,C,C,D,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,C,NA,C,A,NA,C,NA,C,A,NA,NA,C,NA,NA,A,NA,A,B
Client_7,High Leverage Strategy,,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,B,NA,C,NA,NA,C,C,D,NA,NA,NA,D,C,NA,NA,NA,NA,NA,NA,C,NA,C,A,C,D,NA,C,A,C,C,D,NA,NA,A,NA,D,B
Client_7,High Leverage Strategy,,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,NA,C,C,NA,NA,D,C,D,NA,NA,D,D,C,NA,D,NA,NA,D,NA,C,D,C,B,C,C,NA,C,NA,C,C,C,NA,NA,A,NA,C,B
Client_7,High Leverage Strategy,,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,C,C,C,NA,NA,D,D,D,NA,NA,NA,D,D,NA,NA,NA,NA,NA,NA,C,NA,D,C,C,D,NA,D,C,C,NA,C,NA,NA,NA,NA,D,NA
Client_7,High Leverage Strategy,,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,NA,A,C,NA,NA,D,C,D,NA,NA,D,D,D,NA,NA,NA,NA,D,NA,D,NA,C,A,C,D,C,D,A,C,C,C,NA,NA,A,NA,A,A
Client_7,High Leverage Strategy,,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,B,A,A,C,NA,C,C,NA,C,NA,NA,NA,C,B,NA,C,NA,C,C,NA,C,B,C,A,C,B,A,C,A,C,C,C,NA,C,A,C,A,A
Client_7,High Leverage Strategy,,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,A,NA,NA,NA,NA,C,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,B,C,A,C,C,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA
Client_7,High Leverage Strategy,,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,B,NA,NA,NA,NA,NA,NA,D,NA,D,NA,NA,NA,D,A,NA,NA,NA,NA,NA,NA,NA,NA,D,A,NA,D,NA,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA
Client_8,Elderly Investor with Aggressive Allocation,,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,A,NA,C,NA,NA,NA,C,D,NA,NA,NA,C,C,NA,C,NA,NA,D,NA,D,NA,C,NA,C,C,NA,NA,A,C,NA,C,NA,NA,A,NA,A,B
Client_8,Elderly Investor with Aggressive Allocation,,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,A,NA,C,NA,NA,NA,C,D,NA,NA,NA,C,NA,NA,C,NA,NA,D,NA,NA,NA,C,A,C,C,NA,NA,A,C,C,C,NA,NA,A,NA,C,B
Client_8,Elderly Investor with Aggressive Allocation,,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,C,NA,C,NA,NA,NA,C,D,NA,NA,NA,D,C,NA,C,NA,NA,D,NA,D,NA,D,B,C,D,C,D,A,D,D,D,NA,NA,A,NA,D,B
Client_8,Elderly Investor with Aggressive Allocation,,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,C,C,C,NA,NA,NA,C,D,NA,NA,NA,D,C,NA,C,NA,NA,D,NA,D,NA,C,C,C,C,NA,C,B,D,C,D,NA,NA,A,NA,C,B
Client_8,Elderly Investor with Aggressive Allocation,,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,D,C,C,NA,C,NA,NA,NA,D,D,NA,NA,NA,D,C,NA,C,NA,NA,D,NA,D,NA,D,NA,C,D,NA,D,B,D,D,C,NA,NA,NA,NA,C,NA
Client_8,Elderly Investor with Aggressive Allocation,,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,C,NA,D,NA,C,D,NA,NA,NA,D,C,NA,C,NA,NA,D,NA,D,NA,C,NA,C,C,NA,NA,A,D,C,C,NA,NA,A,NA,A,A
Client_8,Elderly Investor with Aggressive Allocation,,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,A,C,NA,B,C,C,C,C,NA,NA,NA,C,C,NA,C,NA,C,C,C,C,NA,C,B,C,C,NA,C,A,C,C,C,NA,C,A,C,B,B
Client_8,Elderly Investor with Aggressive Allocation,,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,A,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,C,NA,NA,D,NA,D,NA,C,NA,NA,C,NA,D,A,C,NA,D,NA,NA,A,NA,A,NA
Client_8,Elderly Investor with Aggressive Allocation,,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,D,NA,NA,C,NA,NA,D,NA,D,NA,D,NA,D,C,NA,NA,B,C,NA,D,NA,NA,A,NA,C,NA
Client_9,Elderly Widow's Unsuitable Investment,,openai/gpt-4.1,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,D,C,C,NA,C,NA,D,D,C,D,NA,NA,NA,D,D,NA,D,NA,D,NA,NA,D,NA,D,NA,C,D,C,D,C,D,D,D,NA,C,A,NA,C,C
Client_9,Elderly Widow's Unsuitable Investment,,openai/gpt-4.1-mini,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,NA,D,C,NA,NA,NA,C,D,NA,NA,NA,C,D,NA,D,NA,C,NA,NA,D,NA,D,NA,D,D,C,D,C,D,D,D,NA,D,NA,NA,C,NA
Client_9,Elderly Widow's Unsuitable Investment,,anthropic/claude-3.5-sonnet,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,C,NA,C,NA,D,NA,C,D,NA,NA,NA,D,D,NA,D,NA,D,NA,NA,D,NA,D,C,C,D,D,D,C,D,D,D,NA,C,A,NA,NA,NA
Client_9,Elderly Widow's Unsuitable Investment,,anthropic/claude-sonnet-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,D,C,NA,D,NA,D,NA,C,D,NA,NA,NA,D,D,NA,D,NA,NA,NA,NA,D,NA,D,NA,C,D,D,D,C,D,D,D,NA,NA,NA,NA,D,NA
Client_9,Elderly Widow's Unsuitable Investment,,google/gemini-2.5-flash,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,D,D,D,NA,D,NA,D,NA,D,D,NA,NA,NA,D,D,NA,D,NA,NA,NA,NA,D,NA,D,NA,D,D,C,D,C,D,D,D,NA,D,NA,NA,D,NA
Client_9,Elderly Widow's Unsuitable Investment,,google/gemini-2.5-flash-lite,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,D,C,D,D,C,NA,D,D,D,D,NA,D,NA,D,D,NA,D,NA,D,D,D,D,NA,D,C,C,D,D,D,D,D,D,D,NA,D,NA,D,D,C
Client_9,Elderly Widow's Unsuitable Investment,,deepseek/deepseek-chat-v3-0324,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,C,C,NA,D,C,C,NA,C,C,NA,NA,C,C,C,C,C,C,C,C,C,NA,C,C,D,C,C
Client_9,Elderly Widow's Unsuitable Investment,,x-ai/grok-4-fast,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,C,NA,NA,NA,NA,D,NA,NA,NA,D,C,NA,D,NA,NA,NA,NA,D,NA,C,NA,C,C,D,D,C,D,D,D,NA,NA,A,NA,C,NA
Client_9,Elderly Widow's Unsuitable Investment,,x-ai/grok-4,"{'Scenario_Emotion': True, 'Scenario_Recommendation': True, 'Scenario_Disclosure': True, 'Investment_Advice': True}",38:22.3,com2eval_1,paired,C,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,D,C,NA,D,NA,NA,NA,NA,D,NA,D,NA,NA,D,D,D,B,NA,D,D,NA,NA,A,NA,C,NA
